Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
Tamil Nadu,India,11.006091,78.400624,776174,11669,753332,11173,"Tamil Nadu, India"
Telangana,India,18.1124,79.0193,267665,1448,255378,10839,"Telangana, India"
Tripura,India,23.746783,91.743565,32610,370,31499,741,"Tripura, India"
Unknown,India,,,0,0,0,0,"Unknown, India"
Uttar Pradesh,India,26.925425,80.560982,535449,7674,502353,25422,"Uttar Pradesh, India"
Uttarakhand,India,30.156447,79.197608,72997,1196,67119,4682,"Uttarakhand, India"
West Bengal,India,23.814082,87.979803,470498,8224,437604,24670,"West Bengal, India"
,Indonesia,-0.7893,113.9213,516753,16352,433649,66752,Indonesia
,Iran,32.427908,53.688046,908346,46689,633275,228382,Iran
,Iraq,33.223191,43.679291,544670,12125,474376,58169,Iraq
,Ireland,53.1424,-7.6921,71494,2036,23364,46094,Ireland
,Israel,31.046051,34.851612,333084,2834,320821,9429,Israel
Abruzzo,Italy,42.35122196,13.39843823,26015,851,7830,17334,"Abruzzo, Italy"
Basilicata,Italy,40.63947052,15.80514834,7454,136,1218,6100,"Basilicata, Italy"
Calabria,Italy,38.90597598,16.59440194,15256,254,4536,10466,"Calabria, Italy"
Campania,Italy,40.83956555,14.25084984,146018,1483,41151,103384,"Campania, Italy"
Emilia-Romagna,Italy,44.49436681,11.3417208,114855,5548,37835,71472,"Emilia-Romagna, Italy"
Friuli Venezia Giulia,Italy,45.6494354,13.76813649,27099,741,12536,13822,"Friuli Venezia Giulia, Italy"
Lazio,Italy,41.89277044,12.48366722,111852,2215,22334,87303,"Lazio, Italy"
Liguria,Italy,44.41149315,8.9326992,49951,2322,34137,13492,"Liguria, Italy"
Lombardia,Italy,45.46679409,9.190347404,392655,21212,231042,140401,"Lombardia, Italy"
Marche,Italy,43.61675973,13.5188753,28073,1221,10443,16409,"Marche, Italy"
Molise,Italy,41.55774754,14.65916051,4285,103,1530,2652,"Molise, Italy"
P.A. Bolzano,Italy,46.49933453,11.35662422,22253,509,10294,11450,"P.A. Bolzano, Italy"
P.A. Trento,Italy,46.06893511,11.12123097,14844,615,11867,2362,"P.A. Trento, Italy"
Piemonte,Italy,45.0732745,7.680687483,159004,5875,74723,78406,"Piemonte, Italy"
Puglia,Italy,41.12559576,16.86736689,49001,1354,12668,34979,"Puglia, Italy"
Sardegna,Italy,39.21531192,9.110616306,20044,418,6655,12971,"Sardegna, Italy"
Sicilia,Italy,38.11569725,13.3623567,58769,1371,18890,38508,"Sicilia, Italy"
Toscana,Italy,43.76923077,11.25588885,99327,2450,48742,48135,"Toscana, Italy"
Umbria,Italy,43.10675841,12.38824698,22821,369,13018,9434,"Umbria, Italy"
Valle d'Aosta,Italy,45.73750286,7.320149366,6243,302,4328,1613,"Valle d'Aosta, Italy"
Veneto,Italy,45.43490485,12.33845213,134056,3501,55403,75152,"Veneto, Italy"
,Jamaica,18.1096,-77.2975,10541,248,5721,4572,Jamaica
Aichi,Japan,35.035551,137.211621,9410,103,7331,1976,"Aichi, Japan"
Akita,Japan,39.748679,140.408228,84,1,69,14,"Akita, Japan"
Aomori,Japan,40.781541,140.828896,285,6,262,17,"Aomori, Japan"
Chiba,Japan,35.510141,140.198917,6645,85,5712,848,"Chiba, Japan"
Ehime,Japan,33.624835,132.856842,283,6,129,148,"Ehime, Japan"
Fukui,Japan,35.846614,136.224654,309,11,265,33,"Fukui, Japan"
Fukuoka,Japan,33.526032,130.666949,5638,106,5281,251,"Fukuoka, Japan"
Fukushima,Japan,37.378867,140.223295,486,6,416,64,"Fukushima, Japan"
Gifu,Japan,35.778671,137.055925,985,14,811,160,"Gifu, Japan"
Gunma,Japan,36.504479,138.985605,1117,20,938,159,"Gunma, Japan"
Hiroshima,Japan,34.605309,132.788719,782,6,699,77,"Hiroshima, Japan"
Hokkaido,Japan,43.385711,142.552318,8011,163,5068,2780,"Hokkaido, Japan"
Hyogo,Japan,35.039913,134.828057,5218,77,4152,989,"Hyogo, Japan"
Ibaraki,Japan,36.303588,140.319591,1397,20,1007,370,"Ibaraki, Japan"
Ishikawa,Japan,36.769464,136.771027,843,49,780,14,"Ishikawa, Japan"
Iwate,Japan,39.593287,141.361777,175,1,64,110,"Iwate, Japan"
Kagawa,Japan,34.217292,133.969047,136,2,108,26,"Kagawa, Japan"
Kagoshima,Japan,31.009484,130.430665,612,15,551,46,"Kagoshima, Japan"
Kanagawa,Japan,35.415312,139.338983,11913,190,10162,1561,"Kanagawa, Japan"
Kochi,Japan,33.422519,133.367307,149,4,140,5,"Kochi, Japan"
Kumamoto,Japan,32.608154,130.745231,994,13,886,95,"Kumamoto, Japan"
Kyoto,Japan,35.253815,135.443341,2584,36,2242,306,"Kyoto, Japan"
Mie,Japan,34.508018,136.376013,781,6,600,175,"Mie, Japan"
Miyagi,Japan,38.446859,140.927086,1169,8,930,231,"Miyagi, Japan"
Miyazaki,Japan,32.193204,131.299374,457,1,374,82,"Miyazaki, Japan"
Nagano,Japan,36.132134,138.045528,653,6,506,141,"Nagano, Japan"
Nagasaki,Japan,33.235712,129.608033,265,3,245,17,"Nagasaki, Japan"
Nara,Japan,34.317451,135.871644,1050,11,833,206,"Nara, Japan"
